anio,semana,HOSPITALIZACION IRAG MENOR 1 AÑO,HOSPITALIZACION IRAG 1 AÑO,HOSPITALIZACION IRAG 2 A 4 AÑOS,HOSPITALIZACION IRAG 5 A 19 AÑOS,HOSPITALIZACION IRAG 20 A 39 AÑOS,HOSPITALIZACION IRAG 40 A 59 AÑOS,HOSPITALIZACION IRAG  MAYOR 60 AÑOS,TOTAL CASOS DE HOSPITALIZACIONES POR IRAG,TOTAL CAUSAS HOSPITALIZACIONES MENOR 1 AÑO,TOTAL CAUSAS HOSPITALIZACIONES 1 AÑO,TOTAL CAUSAS HOSPITALIZACIONES 2 A 4 AÑOS,TOTAL CAUSAS HOSPITALIZACIONES 5 A 19 AÑOS,TOTAL CAUSAS HOSPITALIZACIONES 20 A 39 AÑOS,TOTAL CAUSAS HOSPITALIZACIONES 40 A 59 AÑOS,TOTAL CAUSAS HOSPITALIZACIONES MAYOR 60 AÑOS,TOTAL HOSPITALIZACIONES POR TODAS LAS CAUSAS,HOSPITALIZACIONES EN UCI POR IRAG MENOR 1 AÑO,HOSPITALIZACIONES EN UCI POR IRAG 1 AÑO,HOSPITALIZACIONES EN UCI POR IRAG 2 A 4 AÑOS,HOSPITALIZACIONES EN UCI POR IRAG 5 A 19 AÑOS,HOSPITALIZACIONES EN UCI POR IRAG 20 A 39 AÑOS,HOSPITALIZACIONES EN UCI POR IRAG 40 A 59 AÑOS,HOSPITALIZACIONES EN UCI POR IRAG MAYOR 60 AÑOS,TOTAL DE LAS HOSPITALIZACIONES EN UCI POR IRAG,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MENOR 1 AÑO,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 1 AÑO,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 2 A 4 AÑOS,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 5 A 19 AÑOS,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 20 A 39 AÑOS,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 40 A 59 AÑOS,HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MAYOR 60 AÑOS,TOTAL TODAS LAS HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS,MUERTES POR IRAG MENOR 1 AÑO,MUERTES POR IRAG 1 AÑO,MUERTES POR IRAG 2 A 4 AÑOS,MUERTES POR IRAG 5 A 19 AÑOS,MUERTES POR IRAG 20 A 39 AÑOS,MUERTES POR IRAG 40 A 59 AÑOS,MUERTES POR IRAG MAYOR 60 AÑOS,TOTAL DE MUERTES POR IRAG,TODAS LAS CAUSAS DE MUERTE MENOR 1 AÑO,TODAS LAS CAUSAS DE MUERTE 1 AÑO,TODAS LAS CAUSAS DE MUERTE 2 A 4 AÑOS,TODAS LAS CAUSAS DE MUERTE 5 A 19 AÑOS,TODAS LAS CAUSAS DE MUERTE 20 A 39 AÑOS,TODAS LAS CAUSAS DE MUERTE 40 A 59 AÑOS,TODAS LAS CAUSAS DE MUERTE MAYOR 60 AÑOS,TOTAL DE MUERTES POR TODAS LAS CAUSAS,IRAG POR CONSULTA EXTERNA Y URGENCIAS MENOR 1 AÑO,IRAG POR CONSULTA EXTERNA Y URGENCIAS 1 AÑO,IRAG POR CONSULTA EXTERNA Y URGENCIAS 2 A 4 AÑOS,IRAG POR CONSULTA EXTERNA Y URGENCIAS 5 A 19 AÑOS,IRAG POR CONSULTA EXTERNA Y URGENCIAS 20 A 39 AÑOS,IRAG POR CONSULTA EXTERNA Y URGENCIAS 40 A 59 AÑOS,IRAG POR CONSULTA EXTERNA Y URGENCIAS MAYOR 60 AÑOS,TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MENOR 1 AÑO,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 1 AÑO,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 2 A 4 AÑOS,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 5 A 19 AÑOS,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 20 A 39 AÑOS,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 40 A 59 AÑOS,CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MAYOR 60 AÑOS,TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO EL IRAG,prop_hosp_irag,prop_uci_irag,prop_muertes_irag,prop_consultas_irag,I_t_minus_1,growth_rate,target
2012,15,6,4,11,17,6,10,14,68,12,14,22,85,200,90,128,551,12,14,22,85,200,90,128,551,34,0,1,3,1,4,12,55,0,0,0,0,0,0,1,1,3,0,0,0,2,3,23,31,54,120,116,221,310,196,117,1134,522,482,690,1917,3270,3044,2240,12165,0.12318840579710146,9.839285714285714,0.03125,0.09321058688147296,0.14452554744525548,-0.01864278320023661,0
2012,16,2,12,11,7,4,6,18,60,30,41,56,139,332,137,200,935,30,41,56,139,332,137,200,935,56,0,0,2,7,8,19,92,0,0,0,0,0,0,0,0,4,0,0,0,3,7,26,40,78,114,181,189,261,175,120,1118,660,576,1221,2824,5111,3218,3124,16734,0.0641025641025641,10.053763440860216,0.0,0.06680609501045713,0.12318840579710146,-0.052605459057071965,0
2012,17,6,1,8,4,3,1,16,39,15,13,21,74,227,93,162,605,15,13,21,74,227,93,162,605,23,0,1,0,7,7,15,53,0,1,0,0,0,0,0,1,5,1,0,0,3,5,19,33,40,63,158,196,254,142,113,966,288,316,748,1831,3358,2822,2290,11653,0.06435643564356436,11.203703703703704,0.029411764705882353,0.08288999485155311,0.0641025641025641,0.00023857807467494427,1
2012,18,6,8,10,12,12,6,16,70,16,21,23,54,135,74,112,435,16,21,23,54,135,74,112,435,31,0,0,0,5,4,26,66,0,0,0,0,0,0,0,0,4,0,0,0,1,3,14,22,50,66,129,173,172,189,205,984,312,194,621,1901,2926,3091,2165,11210,0.16055045871559634,6.492537313432836,0.0,0.08777093925608777,0.06435643564356436,0.09037764028163005,1
2012,19,5,3,14,8,2,3,14,49,22,16,40,68,143,103,152,544,22,16,40,68,143,103,152,544,19,0,0,0,7,10,20,56,0,0,0,0,0,0,2,2,1,0,0,0,0,4,19,24,52,80,136,222,207,122,77,896,467,396,920,2566,3999,3237,2532,14117,0.08990825688073395,9.543859649122806,0.08,0.06346508003966568,0.16055045871559634,-0.06086956521739131,0
2012,20,7,13,11,9,2,1,17,60,17,21,26,68,155,77,134,498,17,21,26,68,155,77,134,498,33,0,0,1,7,8,19,68,1,0,0,0,27,4,0,32,3,0,0,0,1,1,19,24,122,186,297,792,1290,641,356,3684,544,550,897,2369,3861,3286,12092,23599,0.12024048096192384,7.217391304347826,1.28,0.15610169491525425,0.08990825688073395,0.027830070916243253,1
2012,21,14,10,12,6,6,8,17,73,19,17,23,74,158,78,119,488,19,17,23,74,158,78,119,488,24,0,0,1,6,3,21,55,0,0,0,0,0,0,1,1,1,0,0,0,1,3,14,19,102,203,187,301,334,211,129,1467,447,511,910,2402,3718,2948,2569,13505,0.1492842535787321,8.714285714285714,0.05,0.10861839182585517,0.12024048096192384,0.02592637305149789,1
2012,22,8,10,19,9,11,3,15,75,12,26,42,89,196,103,143,611,12,26,42,89,196,103,143,611,24,0,0,1,2,2,18,47,0,0,0,0,0,0,0,0,4,0,0,0,0,4,23,31,55,96,170,265,367,324,363,1640,397,501,766,2302,4157,3366,2901,14390,0.12254901960784313,12.729166666666666,0.0,0.11396011396011396,0.1492842535787321,-0.023262507850115133,0
2012,23,10,13,15,8,12,11,12,81,14,33,43,84,156,94,132,556,14,33,43,84,156,94,132,556,40,0,0,0,2,2,17,61,0,0,0,0,0,0,1,1,1,0,0,1,1,2,19,24,148,256,204,342,538,318,189,1995,525,636,884,2397,4074,3274,2962,14752,0.14542190305206462,8.96774193548387,0.04,0.1352267335457195,0.12254901960784313,0.020375843766904732,1
2012,24,15,7,9,4,11,2,6,54,28,16,28,86,173,68,88,487,28,16,28,86,173,68,88,487,17,0,0,0,0,0,1,18,0,0,0,0,0,0,2,2,0,0,0,0,1,0,10,11,106,206,175,260,313,198,215,1473,345,584,646,2283,3914,3405,3262,14439,0.11065573770491803,25.63157894736842,0.16666666666666666,0.10200831024930748,0.14542190305206462,-0.030352279151035503,0
2012,25,5,1,0,1,5,1,10,23,13,7,16,30,71,55,122,314,13,7,16,30,71,55,122,314,1,0,0,2,4,4,9,20,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,20,99,140,96,176,328,174,126,1139,318,277,575,2184,4404,3408,11108,22274,0.07301587301587302,14.952380952380953,0.0,0.051133557800224466,0.11065573770491803,-0.03388976746910326,0
2012,26,25,25,28,9,1,3,8,99,47,53,64,122,288,104,111,789,47,53,64,122,288,104,111,789,50,1,0,1,2,1,9,64,0,1,0,0,0,0,0,1,2,1,0,1,0,5,9,18,125,179,129,261,375,217,156,1442,429,468,817,2658,4286,3424,2857,14939,0.12531645569620253,12.138461538461538,0.05263157894736842,0.0965194109772423,0.07301587301587302,0.04874166729083964,1
