"ORDEN","UNIDAD PRIMARIA GENERADORA DEL DATO QUE NOTIFICA EL EVENTO","FECHA NOTIFICACION","SEMANA EPIDEMIOLOGICA","AÑO","HOSPITALIZACION IRAG MENOR 1 AÑO","HOSPITALIZACION IRAG 1 AÑO","HOSPITALIZACION IRAG 2 A 4 AÑOS","HOSPITALIZACION IRAG 5 A 19 AÑOS","HOSPITALIZACION IRAG 20 A 39 AÑOS","HOSPITALIZACION IRAG 40 A 59 AÑOS","HOSPITALIZACION IRAG  MAYOR 60 AÑOS","TOTAL CASOS DE HOSPITALIZACIONES POR IRAG","TOTAL CAUSAS HOSPITALIZACIONES MENOR 1 AÑO","TOTAL CAUSAS HOSPITALIZACIONES 1 AÑO","TOTAL CAUSAS HOSPITALIZACIONES 2 A 4 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 5 A 19 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 20 A 39 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 40 A 59 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES MAYOR 60 AÑOS","TOTAL HOSPITALIZACIONES POR TODAS LAS CAUSAS","HOSPITALIZACIONES EN UCI POR IRAG MENOR 1 AÑO","HOSPITALIZACIONES EN UCI POR IRAG 1 AÑO","HOSPITALIZACIONES EN UCI POR IRAG 2 A 4 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 5 A 19 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 20 A 39 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 40 A 59 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG MAYOR 60 AÑOS","TOTAL DE LAS HOSPITALIZACIONES EN UCI POR IRAG","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MENOR 1 AÑO","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 1 AÑO","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 2 A 4 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 5 A 19 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 20 A 39 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 40 A 59 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MAYOR 60 AÑOS","TOTAL TODAS LAS HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS","MUERTES POR IRAG MENOR 1 AÑO","MUERTES POR IRAG 1 AÑO","MUERTES POR IRAG 2 A 4 AÑOS","MUERTES POR IRAG 5 A 19 AÑOS","MUERTES POR IRAG 20 A 39 AÑOS","MUERTES POR IRAG 40 A 59 AÑOS","MUERTES POR IRAG MAYOR 60 AÑOS","TOTAL DE MUERTES POR IRAG","TODAS LAS CAUSAS DE MUERTE MENOR 1 AÑO","TODAS LAS CAUSAS DE MUERTE 1 AÑO","TODAS LAS CAUSAS DE MUERTE 2 A 4 AÑOS","TODAS LAS CAUSAS DE MUERTE 5 A 19 AÑOS","TODAS LAS CAUSAS DE MUERTE 20 A 39 AÑOS","TODAS LAS CAUSAS DE MUERTE 40 A 59 AÑOS","TODAS LAS CAUSAS DE MUERTE MAYOR 60 AÑOS","TOTAL DE MUERTES POR TODAS LAS CAUSAS","IRAG POR CONSULTA EXTERNA Y URGENCIAS MENOR 1 AÑO","IRAG POR CONSULTA EXTERNA Y URGENCIAS 1 AÑO","IRAG POR CONSULTA EXTERNA Y URGENCIAS 2 A 4 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 5 A 19 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 20 A 39 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 40 A 59 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS MAYOR 60 AÑOS","TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MENOR 1 AÑO","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 1 AÑO","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 2 A 4 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 5 A 19 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 20 A 39 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 40 A 59 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MAYOR 60 AÑOS","TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO EL IRAG"
"3792","COOMEVA UBA MESETA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","10","0","0","1","26","228","107","262","298","381","207","109","1592"
"3793","UBA COOMEVA CABECERA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","7","1","0","20","38","23","47","119","210","251","178","866"
"3794","SALUD COOMEVA MEDICINA PREPAGADA SA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","5","1","1","5","21","47","39","28","142"
"3795","COOMEVA UBA MESETA SEDE B","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","18","15","13","4","55","0","0","5","18","15","13","4","55"
"3796","PUNTO VERDE COOMEVA","2013-09-30T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","293","0","0","0","2","0","0","295","25","0","0","44","150","43","13","275"
"3797","CAFI COOMULTRASAN","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","4","3","12","1","1","1","1","1","4","3","12"
"3798","UNIDAD MEDICA QUIRURGICA COOMULTRASAN","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","0","5","0","1","1","1","2","0","0","5"
"3799","ECOPETROL REGIONAL DE SALUD ORIENTE","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","11","10","41","0","0","0","87","198","321","596","1202"
"3800","FUNDACION MEDICO PREVENTIVA IPS PARA EL BIENESTAR","2013-09-22T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","9","6","7","27","0","0","8","44","80","177","249","558"
"3801","UIMIST","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","2","0","0","0","13","5","6","0","2","0","0","0","13"
"3802","CENTRO DE SALUD ROSARIO","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","0","6","7","6","3","34","5","7","0","6","7","6","3","34"
"3803","CENTRO DE SALUD MUTIS","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1"
"3804","CENTRO DE SALUD TOLEDO PLATA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","0","3","1","1","2","20","5","8","0","3","1","1","2","20"
"3805","CENTRO DE SALUD IPC","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","5","5","3","4","25","4","4","0","5","5","3","4","25"
"3806","CENTRO DE SALUD GIRARDOT","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","12","0","12","13","4","11","69","17","12","0","12","13","4","11","69"
"3807","CENTRO DE SALUD ANTONIA SANTOS","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","2","1","8","0","2","2","0","1","2","1","8"
"3808","CENTRO DE SALUD VILLA ROSA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","1","0","0","6","0","3","0","2","1","0","0","6"
"3809","CENTRO DE SALUD GAITAN","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","0","0","5","0","2","0","2","1","0","0","5"
"3810","CENTRO DE SALUD REGADEROS","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","1","1","6","0","1","0","1","2","1","1","6"
"3811","CENTRO DE SALUD LIBERTAD","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2","1","2","8","0","2","0","1","2","1","2","8"
"3812","CENTRO DE SALUD KENNEDY","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","1","3","2","0","12","5","1","0","1","3","2","0","12"
"3813","CENTRO DE SALUD BUCARAMANGA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","2","0","1","0","0","1","0","0","2"
"3814","HOSPITAL LOCAL DEL NORTE","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","3","2","2","17","3","2","0","5","3","2","2","17"
"3815","MEDIRED IPS LTDA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","4","5","1","3","16","12","18","56","204","285","311","286","1172"
"3816","CENTRO PENITENCIAL DE MUJERES","2013-09-22T00:00:00.000","39","2013","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"3817","SERVICLINICOS DROMEDICA SA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","1","11","1","3","16","0","0","0","1","11","1","3","16","0","0","0","2","3","1","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","2","6","2","3","4","18","2","1","9","69","210","99","57","447"
"3818","IPS PUNTO DE SALUD SA BUCARAMANGA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","7","10","22","1","1","56","20","14","17","25","48","6","6","136"
"3819","SERVICIOS INTEGRALES DE SALUD Y DESARROLLO PSICOSO","2013-09-25T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","22","0","0","29","0","0","0","25","121","0","0","146"
"3820","UNIDAD DE PREVENCION CLINICA","2013-09-27T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","0","1","0","0","8","51","19","12","20","170","116","165","553"
"3821","VIDAMEDICAL BUCARAMANGA IPS SAS","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1"
"3822","CLINICA METROPOLITANA DE BUCARAMANGA SA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","4","1","0","5","17","8","6","41","4","1","0","5","17","8","6","41","2","0","0","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","4","3","7","5","4","2","29","22","12","15","79","173","88","50","439"
"3823","UNIDAD DE ATENCIÃ“N PRIMARIA BUCARAMANGA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","1","10","0","0","0","0","0","0","0","0"
"3824","EPMS CARCEL MODELO DE BUCARAMANGA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","11","0","31","0","0","0","0","100","70","50","220"
"3825","FUNDACION AVANZAR FOS","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","7","16","6","37","7","5","11","77","146","354","388","988"
"3826","CAJA SANTANDEREANA DE SUBSIDIO FAMILIAR CAJASAN","2013-05-10T00:00:00.000","40","2013","0","3","2","4","4","7","10","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3827","CAJA DE PREVISION SOCIAL DE LA UIS","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","2","12","7","30","2","0","3","47","42","128","141","363"
"3828","CAJA DE PREVISION SOCIAL DE LA UIS","2013-04-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","6","8","21","1","1","2","22","22","77","113","238"
"3829","CLINISANITAS EPS SANITAS BUCARAMANGA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","7","9","2","23","6","6","20","34","62","60","43","231"
"3830","LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANG","2013-05-10T00:00:00.000","40","2013","0","0","0","0","1","1","5","7","0","0","0","7","22","31","66","126","0","0","0","7","22","31","66","126","0","0","0","2","4","15","28","49","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","9","0","0","7","10","17","13","8","55","30","7","51","165","480","418","284","1435"
"3831","CLINICA METROPOLITANA DE BUCARAMANGA SA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","4","0","0","8","14","7","5","38","4","0","0","8","14","7","5","38","9","0","0","0","0","0","1","10","0","0","0","0","0","0","0","0","1","0","0","0","0","2","3","6","5","2","3","5","4","3","3","25","30","8","17","91","212","74","46","478"
"3832","CENTRO CLINICO MONSERRATE","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","3","0","8","1","0","7","12","27","14","12","73"
"3833","CLINICA MATERNO INFANTIL SAN LUIS SA","2013-05-10T00:00:00.000","40","2013","5","7","10","4","0","0","0","26","39","22","24","53","113","11","4","266","39","22","24","53","113","11","4","266","29","1","1","1","0","0","0","32","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","5","16","38","27","2","0","0","88","59","125","242","463","192","21","2","1104"
"3834","UBA COOMEVA CABECERA","2013-05-07T00:00:00.000","27","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","1","2","3","0","17","40","1","48","124","134","304","181","832"
"3835","COOMEVA UBA MESETA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","5","0","1","2","16","34","11","24","43","49","38","22","221"
"3836","COOMEVA UBA MESETA SEDE B","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","11","17","10","8","55","0","3","6","11","17","10","8","55"
"3837","SALUD COOMEVA MEDICINA PREPAGADA SA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","6","2","0","16","6","3","2","10","39","25","29","114"
"3838","PUNTO VERDE COOMEVA","2013-07-10T00:00:00.000","41","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","6","320","0","0","49","172","73","26","640"
"3839","CAFI COOMULTRASAN","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","2","3","0","11","1","0","0","5","2","3","0","11"
"3840","UNIDAD MEDICA QUIRURGICA COOMULTRASAN","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","1","3","2","1","13","4","1","1","1","3","2","1","13"
"3841","ECOPETROL REGIONAL DE SALUD ORIENTE","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","8","9","32","0","0","0","17","100","356","456","929"
"3842","FUNDACION MEDICO PREVENTIVA IPS PARA EL BIENESTAR","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","7","4","18","8","9","14","34","17","49","35","166"
"3843","MEDIRED IPS LTDA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","3","0","0","6","5","12","22","130","194","209","361","933"
"3844","PEDIATRAS ASOCIADOS LTDA","2013-09-28T00:00:00.000","39","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","8","12","5","26","97","1","0","0","141"
"3845","PEDIATRAS ASOCIADOS LTDA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","8","5","0","0","0","20","16","11","33","110","1","0","0","171"
"3846","PEDIATRAS ASOCIADOS LTDA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","0","0","0","10","16","11","33","110","1","0","0","171"
"3847","PEDIATRAS ASOCIADOS LTDA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","0","0","0","10","16","11","33","110","1","0","0","171"
"3848","UNIDAD DE ATENCIÃ“N PRIMARIA BUCARAMANGA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","7","0","0","0","0","0","0","0","0"
"3849","SERVICLINICOS DROMEDICA SA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","15","50","7","6","78","0","0","0","15","50","7","6","78","0","0","0","2","1","1","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","4","3","1","4","14","4","3","11","72","193","102","56","441"
"3850","IPS PUNTO DE SALUD SA BUCARAMANGA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","7","12","31","8","0","67","17","6","18","30","72","22","2","167"
"3851","SERVICIOS INTEGRALES DE SALUD Y DESARROLLO PSICOSO","2013-04-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","31","0","0","35","0","0","0","35","81","0","0","116"
"3852","UNIDAD DE PREVENCION CLINICA","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","7","47","12","7","8","41","73","130","318"
"3853","HOSPITAL LOCAL DEL NORTE","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","1","1","1","9","3","2","0","1","1","1","1","9"
"3854","CENTRO DE SALUD ANTONIA SANTOS","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","1","0","1","0","0","0","2"
"3855","CENTRO DE SALUD ROSARIO","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","5","0","2","9","2","1","28","9","5","0","2","9","2","1","28"
"3856","CENTRO DE SALUD MUTIS","2013-05-10T00:00:00.000","40","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","0","0","1","7","1","4","0","1","0","0","1","7"
