"ORDEN","UNIDAD PRIMARIA GENERADORA DEL DATO QUE NOTIFICA EL EVENTO","FECHA NOTIFICACION","SEMANA EPIDEMIOLOGICA","AÑO","HOSPITALIZACION IRAG MENOR 1 AÑO","HOSPITALIZACION IRAG 1 AÑO","HOSPITALIZACION IRAG 2 A 4 AÑOS","HOSPITALIZACION IRAG 5 A 19 AÑOS","HOSPITALIZACION IRAG 20 A 39 AÑOS","HOSPITALIZACION IRAG 40 A 59 AÑOS","HOSPITALIZACION IRAG  MAYOR 60 AÑOS","TOTAL CASOS DE HOSPITALIZACIONES POR IRAG","TOTAL CAUSAS HOSPITALIZACIONES MENOR 1 AÑO","TOTAL CAUSAS HOSPITALIZACIONES 1 AÑO","TOTAL CAUSAS HOSPITALIZACIONES 2 A 4 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 5 A 19 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 20 A 39 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES 40 A 59 AÑOS","TOTAL CAUSAS HOSPITALIZACIONES MAYOR 60 AÑOS","TOTAL HOSPITALIZACIONES POR TODAS LAS CAUSAS","HOSPITALIZACIONES EN UCI POR IRAG MENOR 1 AÑO","HOSPITALIZACIONES EN UCI POR IRAG 1 AÑO","HOSPITALIZACIONES EN UCI POR IRAG 2 A 4 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 5 A 19 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 20 A 39 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG 40 A 59 AÑOS","HOSPITALIZACIONES EN UCI POR IRAG MAYOR 60 AÑOS","TOTAL DE LAS HOSPITALIZACIONES EN UCI POR IRAG","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MENOR 1 AÑO","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 1 AÑO","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 2 A 4 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 5 A 19 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 20 A 39 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS 40 A 59 AÑOS","HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS MAYOR 60 AÑOS","TOTAL TODAS LAS HOSPITALIZACIONES EN UCI POR TODAS LAS CAUSAS","MUERTES POR IRAG MENOR 1 AÑO","MUERTES POR IRAG 1 AÑO","MUERTES POR IRAG 2 A 4 AÑOS","MUERTES POR IRAG 5 A 19 AÑOS","MUERTES POR IRAG 20 A 39 AÑOS","MUERTES POR IRAG 40 A 59 AÑOS","MUERTES POR IRAG MAYOR 60 AÑOS","TOTAL DE MUERTES POR IRAG","TODAS LAS CAUSAS DE MUERTE MENOR 1 AÑO","TODAS LAS CAUSAS DE MUERTE 1 AÑO","TODAS LAS CAUSAS DE MUERTE 2 A 4 AÑOS","TODAS LAS CAUSAS DE MUERTE 5 A 19 AÑOS","TODAS LAS CAUSAS DE MUERTE 20 A 39 AÑOS","TODAS LAS CAUSAS DE MUERTE 40 A 59 AÑOS","TODAS LAS CAUSAS DE MUERTE MAYOR 60 AÑOS","TOTAL DE MUERTES POR TODAS LAS CAUSAS","IRAG POR CONSULTA EXTERNA Y URGENCIAS MENOR 1 AÑO","IRAG POR CONSULTA EXTERNA Y URGENCIAS 1 AÑO","IRAG POR CONSULTA EXTERNA Y URGENCIAS 2 A 4 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 5 A 19 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 20 A 39 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS 40 A 59 AÑOS","IRAG POR CONSULTA EXTERNA Y URGENCIAS MAYOR 60 AÑOS","TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MENOR 1 AÑO","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 1 AÑO","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 2 A 4 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 5 A 19 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 20 A 39 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG 40 A 59 AÑOS","CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO IRAG MAYOR 60 AÑOS","TOTAL DE EVENTOS DE MORBILIDAD DE IRAG POR CONSULTA EXTERNA Y URGENCIAS POR TODAS LAS CAUSAS INCLUYENDO EL IRAG"
"15","CENTRO CLINICO MONSERRATE","2012-01-14T00:00:00.000","2","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","4","8","1","0","4","21","32","18","13","89"
"16","LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANG","2012-01-21T00:00:00.000","3","2012","0","0","0","0","0","0","2","2","0","0","0","3","13","9","37","62","0","0","0","3","13","9","37","62","2","0","0","0","2","5","20","29","0","0","0","0","0","1","2","3","0","0","0","0","0","1","3","4","0","2","2","9","18","2","6","39","30","15","36","173","359","279","230","1122"
"17","CENTRO CLINICO MONSERRATE","2012-01-21T00:00:00.000","3","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","2","0","0","5","0","2","4","44","65","16","12","143"
"18","CLINICA MATERNO INFANTIL SAN LUIS SA","2012-01-21T00:00:00.000","3","2012","3","3","3","5","0","0","0","14","3","3","3","5","0","0","0","14","3","3","3","5","0","0","0","14","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","17","15","12","0","0","0","53","9","17","15","12","0","0","0","53"
"19","FUNDACION OFTALMOLOGICA DE SDER FOSCAL","2012-01-21T00:00:00.000","3","2012","0","0","2","0","0","1","1","4","1","0","3","10","17","0","60","91","1","0","3","10","17","0","60","91","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","7","9","0","1","1","7","22","25","28","84","19","21","47","194","243","379","654","1557"
"20","CLINICA METROPOLITANA DE BUCARAMANGA SA","2012-01-28T00:00:00.000","4","2012","0","0","0","0","0","0","0","0","5","5","5","17","32","21","14","99","5","5","5","17","32","21","14","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","0","2","8","14","21","18","26","143","168","105","495"
"21","CENTRO MEDICO DANIEL PERALTA SA CLINICA BUCARAMNAG","2012-01-28T00:00:00.000","4","2012","0","0","0","2","0","0","0","2","0","0","0","7","32","29","26","94","0","0","0","7","32","29","26","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","0","1","1","8","24","11","9","54","0","4","10","95","386","227","167","889"
"22","LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANG","2012-01-28T00:00:00.000","4","2012","0","0","0","0","1","1","9","11","0","0","0","3","11","21","44","79","0","0","0","3","11","21","44","79","4","0","0","1","0","3","12","20","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","9","1","0","0","5","13","8","6","33","21","1","49","169","275","268","167","950"
"23","CLINICA MATERNO INFANTIL SAN LUIS SA","2012-01-28T00:00:00.000","4","2012","4","4","4","4","0","0","0","16","9","18","21","33","68","9","1","159","9","18","21","33","68","9","1","159","13","2","1","1","0","0","0","17","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","2","8","17","20","25","0","1","1","72","48","108","174","409","111","20","2","872"
"24","IPS COMFENALCO SANTANDER","2012-01-28T00:00:00.000","4","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","4","15","10","29","68","135","86","54","397"
"25","UBA COOMEVA CABECERA","2012-01-21T00:00:00.000","3","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2","1","4","1","11","15","8","18","62","159","135","34","431"
"26","UBA COOMEVA CABECERA","2012-01-28T00:00:00.000","4","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","1","1","0","2","0","11","29","13","25","63","161","135","39","465"
"27","CAFI COOMULTRASAN","2012-01-28T00:00:00.000","4","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","10","20","8","4","47","1","2","2","10","20","8","4","47"
"28","UNIDAD MEDICA QUIRURGICA COOMULTRASAN","2012-01-28T00:00:00.000","4","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","14","4","0","27","0","1","0","8","14","4","0","27"
